en,zh
Atari,雅达利
boost up to 6x,性能提升多达6倍
Bureau of Ordnance Computation Project,军需计算专案局
Juraszek,游拉舍克
often in many different countries,经常在许多不同国家
"""unless specified as below"" and ""unless specified below""",=unless otherwise specified below 除非下文另有规定
a heterogeneous computing environment,异构计算环境
a profiling system,特征描述系统
Add to Favourites,加入收藏夹
adequate performance,卓越性能
authenticate,鉴别
Authorization Code Status,授权编号状态
图文混排,Image-Text wrapping
background,背景
bells & whistles,额外特性
bezel,挡板条
binary,二进制码
buffer,缓冲区
build version,编译版本
business professionals,商业专业人员/商务专业人员
Cabbage Patch,"“包心菜娃娃,菜斑玩偶"""
cassette unit,盒式磁带机
certificate's issuer digest number,认证发行者摘号
clear screen retention straps,固定屏幕的透明带
Cleo,蔻丽电视广告奖
communication exception,通信异常
Compagnie de Montres Longines Francillon S. A,Longines Watches Company
Configuration,設定/配置
data streaming,数据流
download,下载
DRC,灾难复原中心
Edsgar Dijkstra,埃德斯格·迪克斯特拉
elite competition,精英赛/顶级赛事
encryption,加密，编密码，加密术
enhancement application,增补程序
firm handshake of trust,以诚相待
flagship product,王牌产品
flash,快闪式存储器
For duration,持续一段时间
Fragmentation,分工/细化
robot exclusion headers,网络爬虫排除协议的头文件
set correlation,定制关联
shipping key,固定卡；定位片；定位卡；防震卡等
step-by-step guides,步进式向导
tab items and skins,选项卡的内容和皮肤
tab-delimited,定位分隔的
Thank you. Your request has been sent. (in Cantonese),Spoken and Written Cantonese
Throughput,传输率
thumbnail image,拇指图 / 缩略图
time to insight,洞悉时间/辨明某种情况真正性质的时间
to six decimal places,到小数点后六位
top site,顶级网站
troubleshooting,故障排除
unmatched customer support,无与伦比的客户支持
Vector-based,基于矢量
WAN Link,广域网链接
website outage,网站停运
wrong recursive to date format,日期格式递归错误
WWID,全球识别号
x86 instruction set,x86指令集
文档的排版,documentary typesetting
Atari,雅达利
boost up to 6x,性能提升多达6倍
Bureau of Ordnance Computation Project,军需计算专案局
Juraszek,游拉舍克
often in many different countries,经常在许多不同国家
"""unless specified as below"" and ""unless specified below""",=unless otherwise specified below 除非下文另有规定
a heterogeneous computing environment,异构计算环境
a profiling system,特征描述系统
Add to Favourites,加入收藏夹
adequate performance,卓越性能
authenticate,鉴别
Authorization Code Status,授权编号状态
图文混排,Image-Text wrapping
background,背景
bells & whistles,额外特性
bezel,挡板条
ground-breaking,破天荒
hatch,FYI
Helmut Schreyer,施和睦
binary,二进制码
buffer,缓冲区
build version,编译版本
business professionals,商业专业人员/商务专业人员
Cabbage Patch,"“包心菜娃娃,菜斑玩偶"""
cassette unit,盒式磁带机
certificate's issuer digest number,认证发行者摘号
clear screen retention straps,固定屏幕的透明带
Cleo,蔻丽电视广告奖
communication exception,通信异常
Compagnie de Montres Longines Francillon S. A,Longines Watches Company
Configuration,設定/配置
data streaming,数据流
download,下载
DRC,灾难复原中心
Help Resources,求助资源
iconify on away,离开时缩小为图标显示
IDNEX (or idnex),一类互联网子域名
Illiac Suite for String Quartet,<<伊利雅克組曲>>弦乐四重奏
Initiate,启动
Integrated Device Manufacturers (IDM),整合组件制造商;集成器件制造商
Internet access,"互联网接入/ 網路連線/互連網連線, 網路, 存取(網際)網路/上網"
intuitively,直观地
Issue,分配
Journal of Computer Calisthenics and Orthodontia,窦卜大夫的电脑健身操与整齿学报
key uploading pin pad specifications,上载密匙的个人密码输入器规格
Lejaren,乐杰尔恩
local name,本地名称
Lyons Teashop Company,里昂茶室电脑公司
Mobile Performance Personified,个性化/人性化移动性能
multithreading,"多线程, 多线程技术"
Murray Hill,莫雷山
National Institutes of Health Clinic Center,国家卫生研究院临床研究中心
Edsgar Dijkstra,埃德斯格·迪克斯特拉
elite competition,精英赛/顶级赛事
encryption,加密，编密码，加密术
enhancement application,增补程序
firm handshake of trust,以诚相待
flagship product,王牌产品
flash,快闪式存储器
For duration,持续一段时间
Fragmentation,分工/细化
navagation,导航
online presence,访问量
out-of-the-box applications,打开即用的应用程序
Outgoing COM Port,輸出COM埠（繁）/输出COM端口（串口）（简）
over,通过
overt authentication feature/tamper evident construction,公开验证功能/防窃启显示设计
photos slideshow,照片幻灯片演示
pick up,接收 = receive
Play it forward,再过一段时间看看(你将发现。。。）
Polished Worksheets,Polished Worksheets
powering products,(以．．．）武装产品
premium business tools,优质商务管理工具
provider factory,provider factory 类
push the envelope,挑战极限
PYCCKÈÉ,俄语
rails,导轨
Rate Code Filter,速率码滤波器
rating loader,评级装载机
retire,撤除
