en,zh
"""graffiti"" pen-strokes",手写(输入)板
"""worker"" web servers","""Tomcat Worker"" Web 服务器"
/8 netblock,/8网络地址段
4-1-1 business search,4－1－1电话查询
a caste system,等级制度/体系
a different color of money,同样是花钱，但性质不同
a drop down,下拉框或下拉列表
a gate and a pointer,入口和指针
a legacy domain,传统领域， 该领域显得很传统，
a propensity for underemployment,就业不足趋势
a rock-solid poker face,泰山崩于前而不变色的扑克脸/任何时候都能镇定自若
a smile without a cat,没有猫的笑
a very lumpy business,起伏性/波动性很大的行业
a walk in the park,很容易发生
advanced metrics and analysis of raw data,先进的原始数据计量和分析
again the same condition will arrive at 2⁶³,当（数组大小）达到2⁶³时又会出现相同的情况
air-quality,无线环境质量
air-side economizers,鲜风节能器
always be such,always be like this
animation sequences,动画片断
appease the open-source priesthood,取悦开源倡导者/迎合开源倡导者
at the executive-level,执行领导级别/层面的
audit trail,审计跟踪记录
beating against,对着干
becomes one,融合为一
being consistent to,保持一致
benefit plan,保险计划
between,协调合作
between points,两球之间/比赛间歇
blast detection sensor tape,爆炸探测传感带
Block-Based Languages,积木式（编程）语言
boosts workloads,提高工作负载的处理能力
brochure site,宣传手册式网站
BT farms,"""业务技术养殖场"""
building envelope,建筑围护结构
business formation,公司创建、组建
business insights,商业洞察力
cameras,相机
can be made with very small features,可以做得非常小
candy-cane stripes,杖形糖条纹那种红色
"""graffiti"" pen-strokes",手写(输入)板
"""worker"" web servers","""Tomcat Worker"" Web 服务器"
/8 netblock,/8网络地址段
4-1-1 business search,4－1－1电话查询
a caste system,等级制度/体系
a different color of money,同样是花钱，但性质不同
a drop down,下拉框或下拉列表
a gate and a pointer,入口和指针
a legacy domain,传统领域， 该领域显得很传统，
a propensity for underemployment,就业不足趋势
a rock-solid poker face,泰山崩于前而不变色的扑克脸/任何时候都能镇定自若
a smile without a cat,没有猫的笑
a very lumpy business,起伏性/波动性很大的行业
a walk in the park,很容易发生
advanced metrics and analysis of raw data,先进的原始数据计量和分析
again the same condition will arrive at 2⁶³,当（数组大小）达到2⁶³时又会出现相同的情况
air-quality,无线环境质量
air-side economizers,鲜风节能器
always be such,always be like this
animation sequences,动画片断
appease the open-source priesthood,取悦开源倡导者/迎合开源倡导者
at the executive-level,执行领导级别/层面的
audit trail,审计跟踪记录
beating against,对着干
becomes one,融合为一
being consistent to,保持一致
benefit plan,保险计划
between,协调合作
between points,两球之间/比赛间歇
blast detection sensor tape,爆炸探测传感带
Block-Based Languages,积木式（编程）语言
boosts workloads,提高工作负载的处理能力
brochure site,宣传手册式网站
BT farms,"""业务技术养殖场"""
building envelope,建筑围护结构
business formation,公司创建、组建
business insights,商业洞察力
cameras,相机
can be made with very small features,可以做得非常小
candy-cane stripes,杖形糖条纹那种红色
DRM hooks,DRM钩子
Secure,保护、保管
secure repository,安全存储库
semi cut‐off method,半隔离
Shakes Out,尘埃落定
dropped the IT,早已扔掉了IT
dryer lint,干衣机残留毛绒
DX equipment,直接膨胀设备
e-discovery,电子证据开示
earned,免费媒体
edgy,勇於急進創新
electrical storms,电暴
Electronic Bill Presentment and Payment,电子账单呈递与支付
electronic hijinks,电子/网络恶作剧
enable security to come with containers or microservices,实现让安全措施伴随容器或微服务
eulogize,致悼词
European diacritics,欧洲文字的变音符/附加符号
executing a nasty payload,实施恶意的有效载荷
existential,切实存在的
exploit,开发
extended interview,深度访谈
shakes the computing world to its quad-cores,移动的存在已经给计算界带来了根本的变化
shims,填充码
silicon\'s being scaled the whole time,硅片尺寸一直在缩小
sit ready in the background for an always-available connection to your desktop,后台运行，无间断监控您的台式机
skin the cat of,厘清局面/看清形势
slice the pie,no matter how you slice it（idiom）
slide masters,幻灯片母版
slide mount,插入式/滑入式支架
smartform paper,智能纸张
some worry beads,减压念珠
sourcing components,采购零部件
speak to,显示出/表现出
stack,堆栈结构/架构
state-of-the-company,公司现状
"stateless ""shared-nothing"" architecture","无记忆非共享结构,非持续非共享结构"
statistically multiplexing,统计多路复用
extrapolated,扩展
faked it,造假
fakes out the server,骗过服务器
federate workloads to external clouds,将工作负荷合并到外部云
field credit,现场贷款/信贷
finding their rhythm with,熟悉
finger friendly,方便手指操作
Firefox extension,firefox扩展程序
firewall blips,防火墙异常
flap,掀盖
fluid security,动态安全性
capture,表达（并记录）
catch up with,兼容
caught back up,反超（上来）
cell radios,蜂窝无线电装置
change agent,变革推动者
change the mix,改变产品组合
points of interest,景点
pop off the grid,突然断开网络
power,电力
Power to Performance Effectiveness,电力性能效率
pre-stage,预暂存
input metaphors,输入方式/手段
integrating that tech and econonomics discussion into,将技术与经济性讨论作为一个整体
internalized,源于内部的
storage buckets,存储桶
"strong, balanced",坚定的、沉稳的
such as they are,尽管不怎么样
foil through misinformation,错误信息导致挫败
follow,追踪
follows,其结果是
font-hinting algorithms,字体微调算法
for automobiles to ITS for people,为汽车所设的成为为人而设的
for personal notes,用于个人笔记
"form, fit and function tests",形状、装配、功能测试
from the perspective of effectiveness and frequency,根据使用效果和频率
full boat cost,全套成本
fully loaded cost,全部成本
generally considered in context -- only as absolutes,(这些优点)一般不是相对存在的，而是系统的绝对优势
get your panties in a wad,不安，紧张
go back to,回过头去看/查看/检查...
go full blow ‘Gnome Shell’ like Fedora,没有象Fedora那样全盘照搬Gnome界面
go/no-go decision,行或者不行的决策
changing things sensibly,理智的做出更改
check back in,回过头去查看
churned out,产生（大量的）
clear,一目了然的
cloak and dagger,从事间谍活动的秘密机构
cloud drive locker,云存储硬盘
cobbled back together into a bootable system,恢复至可引导系统上
collocation facility,并置设备/装置
commercial viability,市场/商业生存能力
conditions of necessity,必须找出办法/迫切需要解决的局面
conducted,组织完成的
continental scale,大陆尺度
control click-ring,控制环
converge on,趋向于取得/得出
copy,复制
copy over,‘拷贝’似乎更好些
premium,额外收费/特殊费率/高费率电话号码
presentation,表现（层）
prestage,预安排
print labels on specially coated CDs and DVDs,在有特殊涂层的CD和DVD上打印标签
print to,由......打印
process trail,处理痕迹
promising trajectory,有前途的道路/康庄大道/远大前程/充满希望
provide references for Google Cloud Platform,为谷歌云平台提供（推荐/站台）
providing it for nuts and bolts,提供为一种基础；作为基础构件提供出来
public IM cloud,公共即时消息网络
putting skin the game,参与项目投资
randomize memory,随机分配内存（空间）
rate-based,基于出现频率
re-patching some phones with,给一些电话重新布线
involving,具有
is distributed with,分发时自带
is hitched to,(the spyware)依附于/寄生于
issue ports,分配/发放(转网)号码
issues,方面/环节
it,指this assumption
It is one,就是一个标准键盘
IT mentor,IT技术顾问
it wasn't always the same Kinkos,不总是同一家 Kinkos 分店
It's a simple equation,这是个简单的算式/这是个简单的问题
items,内容
iterations,迭代
its expense justifies the maintenance avoided,（若）此笔开支（或费用）能抵消所需的维护 （或“维修保养”）
it\'s a known entity,它是一个为人熟知的工具
Job Board,工作公告栏
justifying,论证
kinetic UPSs,动能不间断电源
Superseding Indictment,替换起诉
tabs,标签页
tag,标签
take the hit,受罪
take up the slack,承担相应责任
taking a load of VMs,接受/装载大量虚拟机
talking heads,电视评论员
target,确定......重点
target objective,预定/设定/预设目标
targeted vibrations,有针对性的振动
taxonomies and ontology,分类法和本体
technical support segment,技术支持部门
that,省略成分
The actual opening of that source,源代码的真正开放
the boring brother-in-law of the security world,(网络)安全界不受欢迎的来客
the design of Hadoop across,这就是为什么Hadoop设计成能同时...
The drip-drip of the best coffeemakers,从上佳咖啡机，缓缓流淌而下的咖啡
maneuver,机动飞行
marquee customers,（有名的）大客户
"marquees, counter displays,",树脂框架纪念牌，柜台展示板
materiality patterns,实质性模式
meeting a certain profile,符合某一群体特征
memory strings,记忆库字符串
MiB for MiB,Mebibyte
"misadministration, mismanagement",管理不善、处置不当
Model-View-ViewModel (MVVM) Prism pattern,应用MVVM Prism模式
goes for the full monty,更毫无保留地
going about things,（以最专家级的方式）进行操作
gorilla engineering,大猩猩工程
gradients,变化
graph most equations,绘制大多数方程的曲线
correlating,了解
couple simulations,两个模拟场景
crank at full power only intermittently,只需要间歇性地全功率状态下运行
credit clawback,费用赔偿
crowdwork,众包工作
cursor remote,（电视）光标遥控器
customer master information,客户主信息
cute,另一种理解
cutout,安装孔
cutting-edge customers,尖端客户
data expectations,数据预期
dedicated logic for the keyboard,键盘专用的逻辑电路
define flexibility among resources,确定资源的可塑性
densely stackable,可密集堆叠的
dial-in,轻易得到
discontinue Windows XP,停止销售Windows XP
distributed in the main repository,该软件采用最常用的GNU/Linux发行版的主存储库来发行
do some simple key exchange,进行简单的密钥交换验证
reading,ready
Recency Trap,近因陷阱
red flag,预先警示
relative to the base path,相对于基本路径的
relevance,适用性
