en,zh
be inline with,插入
engine-neutral,与引擎无关的
externalize,显示
flush,刷新
global processes and retention schedules,全球/全局流程和保留时间表
iterating through,逐一重复执行
Mapping,映射
midlet,移动信息设备小程序
stickers and magnets,不干胶和磁贴
the scanning and inventory pieces are all COM-based,扫描和记录增补都是基于COM的
turn loose on your database,应用到您的数据库上
"""slow time"" conversation",非实时会话
a 4 x 3 aspect ratio,4x3 宽高比
a bulk-mail house,承揽群发邮件业务的公司
a keyboard-pattern projector,键盘图案显示激光器
a notion of components,组件的概念
a site license,团体许可证
a steep learning curve 陡峭的学习曲线 ?,雇员们面临着艰巨的学习任务
ability to take early discounts and improved price terms for e-payments,能改善电子付款的价格条件之即早降价的能力
across,横向
Addin,插件
advocacy group,倡导组织
aggregates over an hour or a day.,一個小時或一整天的綜合資訊
ambiguity,模糊性/不确定性
an IPSec VPN client,IPSec VPN客户机/客户程序
Anchored Objects,锚定/固定物件
approval routing,许可路由
archiving old messages out of the primary backup set,把旧邮件归档到主备份集以外的位置
artificial intelligence,人工智能
"As is so often the case,",情况3往往是这样
asynchrony,异步操作
authoring content,创作内容
authoring language,编辑语言，写作语言，编写语言
Authorization Line,确认行
Automatic case off/on,关闭/开启  自动大小写字体设置
autowire feature,自动绑定功能
Availability Date,到货日
代码域管理器,FYI
Bank control key,银行控制代码
Bank of America,美国银行
KPIHierarchy,KPI层级
KPISchedule,KPI进度表
label placement,标记，注记
Last Cycle Count Date,上次循环计数日期
Last Facility,最后设备
Last N Hours,最后n小时
Last N Measurements,最后 n 次测量
LastReactivatedBy,最新启用者
LastUnitCompleted,最后单元完成
LastUnitStart,最后单元开始
lieutenants,副队长
line management,部门管理人员/班子；生产线管理人员/班子
line-item,一行项目
liquidizing,清仓
lock,关闭/封锁
Machine Integrator,机器整合器
Machine Portal,机器接入(引导)程序
make this disclaimer,作出此免责声明
map and normalize,列出对照及规范
Mapped->映射？？？,映射
maps,映射
Marker Size,标记大小
massaging,数据调理(精处理)
Matamata Piako,马塔马塔－皮亚科
Min FIFO,存货最短FIFO日期
minor and major,中度 重大
Mobility,移动软件
Money Green,钞票绿
Most often there are “human engineering” elements to these,最常见的情况是这些攻击融入了“人体工程学”要素
move up the evolutionary ladder,推陈出新，再上一层楼
multiscape,多视角
name in file,文件中的名称
navigates a narrow channel of expertise,所涵盖的技术面比较窄
Next Cycle Count,下一次循环计数
NO WARRANTIES FOR THE SOFTWARE.,软件无担保声明
"No, not this time",否，暂时不
numbered and unnumbered,定长，不定长
nurturing,（...用法的）训练/培训/辅导
OASIS Open Document Format for Office Applications (OpenDocument) TC,OASIS 办公应用程序开放文档标准 (OpenDocument) 技术委员会
odd deals,零零散散的交易
On Recess,休息/休假
On Reserve,预留(量)
one on top of another,依序把一项建构在另一项之上
open ??? signed off attendance ????,开放的 / 有签字出勤
open points,悬而未决的问题
operational cost base,运行成本
OprSequenceNo,操作序列号
outside the application,在应用外执行转换
Page 1 at 1 Front,第一页打印在第一张纸的正面
parents,父類
parse the XML in SOAP,把XML解析成SOAP或其他...
parser/resolver,此解析器非彼解析器
partial specialization,偏特化、部分特化
partner,合作伙伴
patch,补丁
patch prioritization,补丁优选
path,道路
patient IDs,病人标识
peculiarities,与众不同
People Productivity Program,People Productivity/人力（資源）效能程式
period-end accruals,期末帐项调整/期末财务结算
persist,保存
pipeline management,（业务）渠道管理
Point,节点
point of care,医护点
pointing to AMP’d content beyond,指向采用AMP技术的内容页面
battlecard,教战卡
bean,程序节
Points file,要点说明书
port,移植版本
portal,门户
positive authentication,有效验证
Print Scale,打印比例
probation logs,缓刑记录
profile level,在简档级别
property bag,属性包
proven,已證明的
pseudocode,伪代码/伪码
push-phase operation content,推动阶段运行内容
Quantity In Active,可用库存（量）
r aggressive growth engine,进取（……）的推动因素
Best After,最佳滞后日
Bin,纸盒
bit-wise copy,按位拷贝
boat,蒸发皿[盘]/船形器皿
borough of Queens,皇后区
Boundless in scope,这种想法，这种设想 无所不能
breaking a sweat,不费吹灰之力
Browser Only PC,仅安装浏览器的个人计算机
random fluctuations in minute-by-minute indicators,每一分钟改变一次显示数据的指示器(显示数据的)随机波动
be inline with,插入
engine-neutral,与引擎无关的
externalize,显示
flush,刷新
global processes and retention schedules,全球/全局流程和保留时间表
iterating through,逐一重复执行
Mapping,映射
creating an adapter from ACORD to the proprietary format,创建一个从ACORD到专有格式的配接器
bucketize,归类/分类
business development director,业务开发主管
By the end of the decade,到本十年末
Cache,高速缓存
capacity systems,高容量系统
carry through,利用、通过…传达
case assignment,项目/任务委派
Catching disk hogs,谁在霸占磁盘？
CGI,computer generated imagery
channel business,渠道业务
ChartSet,图表集
midlet,移动信息设备小程序
stickers and magnets,不干胶和磁贴
the scanning and inventory pieces are all COM-based,扫描和记录增补都是基于COM的
turn loose on your database,应用到您的数据库上
"""slow time"" conversation",非实时会话
a 4 x 3 aspect ratio,4x3 宽高比
a bulk-mail house,承揽群发邮件业务的公司
a keyboard-pattern projector,键盘图案显示激光器
a notion of components,组件的概念
a site license,团体许可证
a steep learning curve 陡峭的学习曲线 ?,雇员们面临着艰巨的学习任务
ability to take early discounts and improved price terms for e-payments,能改善电子付款的价格条件之即早降价的能力
across,横向
Creve Coeur,克里夫库尔
Cross Distribution,交叉分配
cumbersome,麻烦
custom and bound images,定制和绑定图像
Custom B2B Applications,自定义的B2B应用程序/应用软件/应用系统
Cycle Count Flag,循环计数标志
Dashboard,仪表板，含指示转盘、分隔间，控制装置
data-access smarts,数据访问智能
DC Stat program,哥伦比亚特区统计计划（项目）
checked exception,受控例外（或异常）；查验例外（异常）
circular dependencies,循环依赖
clique,（最大完全）子图
Cloud services,云服务
codify,标准化，= standardize/normalize
colour reduction,色彩深度缩减; 色彩减弱；减色
combo box,组合框
command train,指令串
communication,通信/联系
Grid Usage Processing,用电处理
Harmonized Tariff,协调关税
has been extended to Java-based rules engines,已扩充成基于Java的规则引擎
Employee Valid Date,员工有效日期
Addin,插件
advocacy group,倡导组织
aggregates over an hour or a day.,一個小時或一整天的綜合資訊
ambiguity,模糊性/不确定性
an IPSec VPN client,IPSec VPN客户机/客户程序
dead band,死区
Debit No.,借方编号
Default Function,默认功能
Default Over Receive %,默认值与接收量之比
defeasable logic,容错逻辑 / 可取消逻辑
defect,转向他处寻购
Defines the date to filter against.,定义过滤用的日期
Defines the filter to AND.,定义该过滤器为AND
deserialize,解串
destringify,解（散) 字串
Determination Strategy Used,所用判断规则
determines,认为/认定
Deutsche Bahn Aktiengesellschaft,德国铁路股份公司
digitalia,软件
Discontinue On,停止日期
dispatcher,分派器
Communidad Valencian,科穆尼达 巴伦西亚
Components are tags on steroids.,组件是增强型标记
conditional report,附有条件的报告
Contact Apriso,与Apriso联系
Content Class,FYI
contextual tab,上下文选项卡
cookie function,cookie功能
corporate paradigm,企业经营模式(理念)
crash recovery,崩溃恢复 / 灾难恢复
Create disc from disc image,从/根据磁盘镜像创建磁盘
Heartbeat,律动测试
Hierachy Archive,分级存档
high level concepts,高层次概念
Host System Reverse Location,主机系统反向寻址
I AM UP TO MY NECK IN WORK,我忙得不可开交
I'm making a beeline outta here,我径直逃走(走开/避开)
IBM Integration and Application Infrastructure program,IBM Integration and Application Infrastructure（IBM 整合及應用基礎架構）程式
identify...to,把...与...对应起来
image import,图像导入
improve the business-process discipline,业务流程规矩/规则
in business,做生意／做买卖
inbound queues,入站/接收队列
inclusion,引入
Indicator,指示符
inline asm/inline assembly,内嵌汇编
Re-explode,再分解
"Reading hundred volumes of books, traveling thousand miles of roads.",读万卷书，行万里路
Red Seas parting,红海裂谷
refined version,完善版本
reliable messaging,可靠传讯
Repeat offenders,屡犯者
replication features,复制特性
required items,必需项目/所需项目；必需项/所需项
reset,重置
Reset,重置
resident structure,常驻/驻留结构
resistive bend sensors,电阻式弯曲传感器
restrictive,FYR
Retired,不再使用（的）
Rework Time,返工时间
RFID,无线射频识别
enabling contact down the supply chain,实现供应链跟踪管理
enterpriselike,企业级的
EPC tag,产品电子代码标签
Equal Spread,均等分布
