en,zh
control panel,控制面板
Disk Cost,硬盘用度
end-to-end chain,connection/link
Flexible Authentication via Secure Tunneling,通过安全隧道的灵活验证
G.Bis,ADSL2
Often these changes will be automated or implicit,自动或隐式地
overnight batch jobs,夜间(进行的分)批处理工作
turn the tables on,扭转局面／转败为胜
what-if scenarios,假设分析方法/方案
wireless backhaul,无线回传
"a ""Day Zero"" attack",初始攻击
a branch facility,子网
a collection of standards-based TCP enhancements,一组基于标准的TCP增强功能
a meaningless exercise,一項無意義的舉動
a named server,命名服务器
a PBX overlay,(整个)PBX系统/网络
"a total coverage of 19,000 feet",总覆盖半径达19000英尺
activate new orders,着手工程施工或技术调试／着手实施订单工程
add to be the sum of the original waveform,原本信号波形的总和
addressing,涉及/涉足
adopt a mobile relationship,建立一种在可移动服务方面的合作关系
animal swing door,可任意出入的推拉门
Any wonder why some executives prefer to pick on IT budgets?,难怪有些主管将注意力集中在IT预算上
approach vendor selection with very fine granularity,仔细选择供货商
around,在...周围
as needs dictate,这些都是(具体)需要/求决定的
At a higher level,进而言之
at least two acceptable access point signals,可接收来自至少两个接入点的信号
back-off delays,等待延迟
"Bad, bad server. No donut for you.",坏，坏，坏服务器。不给你多纳圈吃。
bandwidth rate,带宽速率
Bluetooth profiles,蓝牙应用规范
bog down,琵....篊ㄓ
bridge,网桥/桥接器
"bring spinning, meaning random-access, advantages to archive and backup",(全息技术)能够为存档和备份带来旋转即随机存取的优点
broken RSS-feed,中断/断开
business case,商业理由
business enabler,业务促成因素/业务推动力(量)
but at this point it's every vendor for itself.,"到目前为止, 各厂商都是各自为政"
but don't get trapped by proprietary systems.,"不过,千万不要被这些专有系统捆住了手脚"
cabinet device numbers,"i personally lean to 压缩工具数量, relative disk..."
captured,检测
career-limiting move,自限前途的举动
cell sleeping,（蜂窝）小区休眠
Centre of Excellence,高级研发中心
chargeback,跟踪
colocate,并置/共置
computer problem,计算机问题
"configuration, provisioning",配置，自动配置
connection pins,连接插脚
control packet,控制分组
Cookie,Cookie
copper-fed,通过铜线传输的/铜线连接的
cross-pollination,相互承认
crossover cable,交叉电缆/交叉线/交越电缆
customer-requested solution of interest,客戶要求的相关解決方案
data extraction without detection,盗取数据
desktop disruption,桌面系统崩溃
develop trending information,收集/制作
dial-up connection,拨号连接/拨接/撥接/撥接上網/撥號連線
discrete multitone line coding,离散多音线路编码
distribution routine,分发例（行）程（序）
don’t ever ask for another one,就不要寻求（采用）另一个
each copper subscriber pair,每对用户铜线
embarrassingly parallel applications,~{!82;RWF=PP!9~}(embarrassingly parallel) ~{5DS&SC3LJ=~}
empirical evidence,经验证据
"engineering product realization, data services",工程产品实现、数据服务
enlist,纳入/涵盖
Entry Profile,输入配置文件
even if Web sites may take longer to render,即使网站速度可能会变慢
exit profile,皌竚ゅン
explicit,显式控制
explicit processors,显式处理器
extends the benefits of ××× to×××,将以太网的益处扩展到XXX
fabric switches,光纤交换机
find a silver lining in the security cloud,...(终于)在安全技术的迷云/雾中看到了一线希望
fluid-power,流体动力
flush image cache,刷新图片缓存
for managing backups from multiple PCs,管理多PC备份
found a home,找到了立足之地
this coincides suspiciously with,这似乎与...吻合
"this has very much been a bootstrap operation,",這就一直都是可以自行運作的項目
thumb memory,U盘/优盘
Timer algorithm,计时器算法
To be unique to ...,为。。。所独有
To only run three ports off a 48-port switch is overkill,对于一个拥有48个端口的交换机，如果你只开通其中三个端口，无疑是一种杀鸡用宰牛刀的行为
tolerance,容許
top-line,年销售额
total addressable market,潜在市场总额/有开发价值的市场总额
Trigger Questions,探究式問題
turnaround time,周期
uplink-downlink ratio,上行（链路）速度与下行（链路）速度之比
VLAN declarations,VLAN声明
wants to be clear--,想让大众知道/想明白无误地告诉大众
where calls reach them,在哪里接电话
wiring closet,布线/配线室
work around ...,暂时避开/绕过（那些问题）
control panel,控制面板
Disk Cost,硬盘用度
end-to-end chain,connection/link
Flexible Authentication via Secure Tunneling,通过安全隧道的灵活验证
G.Bis,ADSL2
Often these changes will be automated or implicit,自动或隐式地
overnight batch jobs,夜间(进行的分)批处理工作
turn the tables on,扭转局面／转败为胜
what-if scenarios,假设分析方法/方案
wireless backhaul,无线回传
"a ""Day Zero"" attack",初始攻击
a branch facility,子网
a collection of standards-based TCP enhancements,一组基于标准的TCP增强功能
a meaningless exercise,一項無意義的舉動
a named server,命名服务器
a PBX overlay,(整个)PBX系统/网络
"a total coverage of 19,000 feet",总覆盖半径达19000英尺
activate new orders,着手工程施工或技术调试／着手实施订单工程
add to be the sum of the original waveform,原本信号波形的总和
addressing,涉及/涉足
adopt a mobile relationship,建立一种在可移动服务方面的合作关系
animal swing door,可任意出入的推拉门
Any wonder why some executives prefer to pick on IT budgets?,难怪有些主管将注意力集中在IT预算上
approach vendor selection with very fine granularity,仔细选择供货商
around,在...周围
as needs dictate,这些都是(具体)需要/求决定的
At a higher level,进而言之
